Sample	Acidobacteria	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Firmicutes	Gemmatimonadetes	Nitrospirae	Planctomycetes	Proteobacteria	Thaumarchaeota	Verrucomicrobia	candidate division WPS-1
ERR1456806	132	474	1	0	6	9	147	3	6	54	567	5	89	9
ERR1456807	112	425	3	0	4	8	160	3	4	43	623	2	110	3
ERR1456808	128	486	3	0	7	6	89	4	7	48	611	3	100	3
ERR1456826	172	454	15	5	5	23	217	6	7	37	282	2	20	9
ERR1456827	223	522	23	7	5	32	271	7	9	42	329	7	31	9
ERR1456828	159	435	18	3	0	26	185	4	7	16	225	10	24	9
