"OTU"	"Location"	"Soil Type"	"Hit_Ratio"	"Num_Valid_Reads"	"postRareQ50_otuCount"
"Acidobacteria"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.306014654604699
"Actinobacteria"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.0465018856314264	0.301621269463555
"Bacteroidetes"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.301621269463555
"Candidatus Saccharibacteria"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.318988678323762
"Chlamydiae"	0.275233524074834	0.275233524074834	0.643259332346483	0.228459430622583	0.301621269463555
"Chloroflexi"	0.0630440534635249	0.0630440534635249	0.317867186777002	0.138107486780811	0.301621269463555
"Firmicutes"	0.0630440534635249	0.0630440534635249	0.563055931029775	0.302795417881811	0.318988678323762
"Gemmatimonadetes"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.340854433936854
"Nitrospirae"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.318988678323762
"Planctomycetes"	0.14773553427222	0.14773553427222	0.459088220796758	0.138107486780811	0.301621269463555
"Proteobacteria"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.301621269463555
"Thaumarchaeota"	0.275233524074834	0.275233524074834	0.409337538851736	0.228459430622583	0.318988678323762
"Verrucomicrobia"	0.0630440534635249	0.0630440534635249	0.196216995820972	0.138107486780811	0.301621269463555
"candidate division WPS-1"	0.0630440534635249	0.0630440534635249	0.459088220796758	0.196652111504354	0.301621269463555
