Sample	Acidobacteria_Gp1	Acidobacteria_Gp16	Acidobacteria_Gp25	Acidobacteria_Gp3	Acidobacteria_Gp4	Acidobacteria_Gp5	Acidobacteria_Gp6	Acidobacteria_Gp7	Actinobacteria	Alphaproteobacteria	Bacilli	Betaproteobacteria	Chlamydiia	Chloroflexia	Clostridia	Cytophagia	Deltaproteobacteria	Gammaproteobacteria	Gemmatimonadetes	Ktedonobacteria	Nitrososphaerales	Nitrospira	Planctomycetia	Saccharibacteria_genera_incertae_sedis	Spartobacteria	Sphingobacteriia	Subdivision3	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Bacteroidetes Phylum	Unclassified Chloroflexi Phylum	Unclassified Firmicutes Phylum	Unclassified Proteobacteria Phylum	Unclassified Verrucomicrobia Phylum	WPS-1_genera_incertae_sedis	Soil Type	Location	Num_Valid_Reads	OTU_COUNT	min2_otuCount	scarce25%_otuCount	postRareQ50_otuCount	Hit_Ratio
ERR1456806	1.5262371470190448	0.9722410604412068	0.8187019733600128	1.0854487827637278	1.1472693424600435	1.2013765139773405	1.4325472840166924	0.456731185213511	2.575505069851329	2.624253707044012	2.0556670401483785	1.0508911431874988	0.8187019733600128	0.456731185213511	1.226095683877629	0.0	1.385249952666619	1.350590381458107	0.5790525122353085	0.5790525122353085	0.6743844740505106	0.8761265762955907	1.6939251293639446	0.0	1.7890741016427303	0.28582789156888616	0.926837318180737	0.926837318180737	1.8328064591227575	0.0	0.6743844740505106	1.175165010809292	1.6939251293639446	1.271675613303726	0.926837318180737	ADE-Soil	ADE	2674	1788	1780	1771	1502	0.5617053103964099
ERR1456807	1.401317210721803	0.9719828343160032	0.45654313992676004	1.0851834843039696	1.2258238154424623	1.1470008930005462	1.4469550296990983	0.45654313992676004	2.5239399233432844	2.676388937496683	2.0895745313482497	1.0851834843039696	0.6741566187883457	0.45654313992676004	1.0851834843039696	0.45654313992676004	1.5259567065189577	1.3503142313960717	0.5788396763869225	0.818456817955507	0.45654313992676004	0.6741566187883457	1.6226870760214316	0.0	1.8667922196508013	0.0	0.818456817955507	0.5788396763869225	1.8017403095194966	0.2856885401467794	0.2856885401467794	1.1748952798918444	1.6506708771321683	1.3679891687645174	0.5788396763869225	ADE-Soil	ADE	2756	1804	1797	1785	1503	0.545355587808418
ERR1456808	1.4904924542141682	1.2947143811058288	0.0	1.0151765198346003	0.9740539866246165	1.1193324068276926	1.4491902135282921	0.5805473929478765	2.59439353594846	2.6541821242127495	1.8165981775575977	1.2513981067317188	0.8778860261457019	0.0	0.675984623872345	0.0	1.3871953237592556	1.4035432406384871	0.675984623872345	0.5805473929478765	0.5805473929478765	0.8778860261457019	1.6618791342401007	0.0	1.8522800262437638	0.0	0.675984623872345	1.087311240183683	1.8040216058167036	0.5805473929478765	0.5805473929478765	1.2032779331250107	1.7639469068329456	1.3148532292817037	0.5805473929478765	ADE-Soil	ADE	2299	1514	1507	1495	1495	0.6502827316224445
ERR1456826	2.0722985742573385	0.5093004407969376	0.0	1.6996298336296283	0.818016011348629	0.6380989657819448	0.7373084925637636	0.7373084925637636	2.681789723507053	2.245789379143159	2.311990312906763	1.802502760079088	0.818016011348629	0.6380989657819448	0.818016011348629	0.5093004407969376	1.1578908460950772	1.220502916398877	0.8860497210911662	1.2752151928937427	0.5093004407969376	0.9448550766949368	1.6260165711883807	0.818016011348629	1.1903242502066844	1.084706428102199	0.818016011348629	0.818016011348629	1.4435561746869492	0.6380989657819448	0.7373084925637636	1.523038026643337	1.6898472566730176	0.5093004407969376	1.0429013084100394	AGR-Soil	AGR	1938	1270	1267	1254	1254	0.6470588235294118
ERR1456827	2.054932378110304	0.0	0.0	1.810351270185514	1.113473296844301	0.0	0.8723874168587488	0.45392811566703695	2.6585299655532912	2.2344390874996427	2.3377963106847415	1.7913515069895538	0.7489609901077499	0.0	0.0	0.45392811566703695	1.4710253326660292	1.0469610814507393	0.8723874168587488	1.4283918048253235	0.8723874168587488	0.9683875097046546	1.5990507535017933	0.8723874168587488	1.3280510801980294	1.2454118056732415	0.8723874168587488	1.0094488415629206	1.4430729488743712	0.5758786432738185	0.6709858116889379	1.5339222943773128	1.5339222943773128	0.45392811566703695	0.9683875097046546	AGR-Soil	AGR	2288	1536	1526	1517	1517	0.6630244755244755
ERR1456828	2.0141466990739763	0.0	0.0	1.872820527041532	1.1680449985264445	0.0	0.7774835191205979	0.0	2.7086821321856185	2.202644487225066	2.310426427272545	1.7755499335598972	0.0	0.928711884151778	0.6760610477192054	0.5434957661463226	1.370300593774621	0.9882854779433798	0.7774835191205979	1.2664136843924791	1.1295917814567067	0.9882854779433798	1.3214560894276561	0.6760610477192054	1.2948063119795734	1.2033687127529487	0.8596472317708475	0.6760610477192054	1.524267350073111	0.7774835191205979	0.928711884151778	1.3928062109830504	1.524267350073111	0.7774835191205979	1.0874001638341255	AGR-Soil	AGR	1702	1133	1127	1121	1121	0.6586368977673326
