Sample	Acidobacteria	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Firmicutes	Gemmatimonadetes	Nitrospirae	Planctomycetes	Proteobacteria	Thaumarchaeota	Verrucomicrobia	candidate division WPS-1	Soil Type	Location	Num_Valid_Reads	OTU_COUNT	min2_otuCount	scarce25%_otuCount	postRareQ50_otuCount	Hit_Ratio
ERR1456806	2.086560447197102	2.6467186464023045	0.28582789156888616	0.0	0.8187019733600128	0.9722410604412068	2.156773311234659	0.5790525122353085	0.8761265762955907	1.6939251293639446	2.7196096737019317	0.6743844740505106	1.9378721104603145	0.926837318180737	ADE-Soil	ADE	2674	1788	1780	1771	1502	0.5617053103964099
ERR1456807	2.029734698745583	2.598240883920181	0.5788396763869225	0.0	0.6741566187883457	0.9719828343160032	2.1703560700181637	0.5788396763869225	0.6741566187883457	1.6226870760214316	2.766074450445599	0.45654313992676004	2.006478852729061	0.5788396763869225	ADE-Soil	ADE	2756	1804	1797	1785	1503	0.545355587808418
ERR1456808	2.0818945571830483	2.6586634101305777	0.5805473929478765	0.0	0.8778860261457019	0.8204233414956931	1.9256477709638637	0.675984623872345	0.8778860261457019	1.6618791342401007	2.7578733274914637	0.5805473929478765	1.975690464239147	0.5805473929478765	ADE-Soil	ADE	2299	1514	1507	1495	1495	0.6502827316224445
ERR1456826	2.28520306131561	2.7053293487363006	1.248720064830251	0.818016011348629	0.818016011348629	1.4257522237270406	2.3856670785311787	0.8860497210911662	0.9448550766949368	1.6260165711883807	2.4990443673366194	0.5093004407969376	1.3674916561651858	1.0429013084100394	AGR-Soil	AGR	1938	1270	1267	1254	1254	0.6470588235294118
ERR1456827	2.3151406636012113	2.6833005819187266	1.346468160982098	0.8723874168587488	0.7489609901077499	1.4843545898745119	2.3994326124036793	0.8723874168587488	0.9683875097046546	1.5990507535017933	2.4833539127062103	0.8723874168587488	1.4710253326660292	0.9683875097046546	AGR-Soil	AGR	2288	1536	1526	1517	1517	0.6630244755244755
ERR1456828	2.2996894028892756	2.7353973106078167	1.370300593774621	0.6760610477192054	0.0	1.524267350073111	2.365157775631898	0.7774835191205979	0.9882854779433798	1.3214560894276561	2.449835391737522	1.1295917814567067	1.4905861677676495	1.0874001638341255	AGR-Soil	AGR	1702	1133	1127	1121	1121	0.6586368977673326
